c array.sh: col:      /home/froleyks/reconf/2022benchmark/benchmark/color04/DSJC250.1.col
c array.sh: dat:      /home/froleyks/reconf/2022benchmark/benchmark/color04/DSJC250.1_01.dat
c array.sh: name:     DSJC250.1_01
c array.sh: task:     13
c array.sh: host:     c3n26
c array.sh: uname:    Linux c3n26 5.4.0-110-generic #124-Ubuntu SMP Thu Apr 14 19:46:19 UTC 2022 x86_64 x86_64 x86_64 GNU/Linux
c array.sh: start:    Fri 27 May 2022 03:14:06 PM CEST
c array.sh: noturbo:  1
c array.sh: governor: 32 performance
c array.sh: tmp:      1%
c 0.0060: solving longest 21950178-13-DSJC250_1_01
c 0.0070: Upper bound on solution length 1000000000
c 0.0070: Makespan 1
c 0.0110: Found solution, length 2
c 0.0120: Makespan 2
c 0.0180: Makespan 3
c 0.0290: Makespan 4
c 0.0400: Makespan 5
c 0.0520: Makespan 6
c 0.0640: Makespan 7
c 0.0720: Makespan 8
c 0.0810: Makespan 9
c 0.0930: Makespan 10
c 0.1030: Makespan 11
c 0.1140: Makespan 12
c 0.1260: Makespan 13
c 0.1430: Makespan 14
c 0.1550: Makespan 15
c 0.1680: Makespan 16
c 0.1810: Makespan 17
c 0.1950: Makespan 18
c 0.2110: Makespan 19
c 0.2630: Makespan 20
c 0.2960: Makespan 21
c 0.3120: Makespan 22
c 0.3270: Makespan 23
c 0.3440: Makespan 24
c 0.3600: Makespan 25
c 0.3780: Makespan 26
c 0.3960: Makespan 27
c 0.4140: Makespan 28
c 0.4330: Makespan 29
c 0.4760: Makespan 30
c 0.4960: Makespan 31
c 0.5160: Makespan 32
c 0.5370: Makespan 33
c 0.5580: Makespan 34
c 0.5790: Makespan 35
c 0.6010: Makespan 36
c 0.6240: Makespan 37
c 0.6480: Makespan 38
c 0.6720: Makespan 39
c 0.6960: Makespan 40
c 0.7210: Makespan 41
c 0.7470: Makespan 42
c 0.7730: Makespan 43
c 0.8470: Makespan 44
c 0.8740: Makespan 45
c 0.9010: Makespan 46
c 0.9290: Makespan 47
c 0.9580: Makespan 48
c 0.9870: Makespan 49
c 1.0160: Makespan 50
c 1.0460: Makespan 51
c 1.0770: Makespan 52
c 1.1080: Makespan 53
c 1.1400: Makespan 54
c 1.1720: Makespan 55
c 1.2040: Makespan 56
c 1.2370: Makespan 57
c 1.2700: Makespan 58
c 1.3040: Makespan 59
c 1.3380: Makespan 60
c 1.3720: Makespan 61
c 1.4890: Makespan 62
c 1.5220: Makespan 63
c 1.5740: Makespan 64
c 1.6110: Makespan 65
c 1.6480: Makespan 66
c 1.6860: Makespan 67
c 1.7240: Makespan 68
c 2.6140: Makespan 69
c 2.7220: Makespan 70
c 2.7600: Makespan 71
c 2.7990: Makespan 72
c 2.8400: Makespan 73
c 2.8810: Makespan 74
c 2.9220: Makespan 75
c 2.9630: Makespan 76
c 3.0050: Makespan 77
c 3.0500: Makespan 78
c 3.0920: Makespan 79
c 3.1360: Makespan 80
c 3.1800: Makespan 81
c 3.2240: Makespan 82
c 3.2690: Makespan 83
c 3.3140: Makespan 84
c 3.3590: Makespan 85
c 3.4060: Makespan 86
c 3.4530: Makespan 87
c 3.5070: Makespan 88
c 3.7220: Makespan 89
c 3.7700: Makespan 90
c 3.8180: Makespan 91
c 3.9010: Makespan 92
c 3.9530: Makespan 93
c 4.0050: Makespan 94
c 4.0580: Makespan 95
c 4.1110: Makespan 96
c 4.1640: Makespan 97
c 4.2180: Makespan 98
c 4.2720: Makespan 99
c 4.3270: Makespan 100
c 4.3820: Makespan 101
c 4.4380: Makespan 102
c 4.4940: Makespan 103
c 4.5510: Makespan 104
c 4.6090: Makespan 105
c 4.6670: Makespan 106
c 4.7260: Makespan 107
c 4.7840: Makespan 108
c 4.8440: Makespan 109
c 4.9040: Makespan 110
c 4.9650: Makespan 111
c 5.0290: Makespan 112
c 5.0900: Makespan 113
c 5.1520: Makespan 114
c 5.2150: Makespan 115
c 5.2780: Makespan 116
c 5.3410: Makespan 117
c 5.4060: Makespan 118
